ID,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,mpg01
79_dodge colt hatchback custom_1915,35.7,4,98.0,80,1915,14.4,79,1,dodge colt hatchback custom,1
79_amc spirit dl_2670,27.4,4,121.0,80,2670,15.0,79,1,amc spirit dl,1
79_mercedes benz 300d_3530,25.4,5,183.0,77,3530,20.1,79,2,mercedes benz 300d,1
79_cadillac eldorado_3900,23.0,8,350.0,125,3900,17.4,79,1,cadillac eldorado,1
79_peugeot 504_3190,27.2,4,141.0,71,3190,24.8,79,2,peugeot 504,1
79_oldsmobile cutlass salon brougham_3420,23.9,8,260.0,90,3420,22.2,79,1,oldsmobile cutlass salon brougham,1
79_plymouth horizon_2200,34.2,4,105.0,70,2200,13.2,79,1,plymouth horizon,1
79_plymouth horizon tc3_2150,34.5,4,105.0,70,2150,14.9,79,1,plymouth horizon tc3,1
79_datsun 210_2020,31.8,4,85.0,65,2020,19.2,79,3,datsun 210,1
79_fiat strada custom_2130,37.3,4,91.0,69,2130,14.7,79,2,fiat strada custom,1
79_buick skylark limited_2670,28.4,4,151.0,90,2670,16.0,79,1,buick skylark limited,1
79_chevrolet citation_2595,28.8,6,173.0,115,2595,11.3,79,1,chevrolet citation,1
79_oldsmobile omega brougham_2700,26.8,6,173.0,115,2700,12.9,79,1,oldsmobile omega brougham,1
79_pontiac phoenix_2556,33.5,4,151.0,90,2556,13.2,79,1,pontiac phoenix,1
80_vw rabbit_2144,41.5,4,98.0,76,2144,14.7,80,2,vw rabbit,1
80_toyota corolla tercel_1968,38.1,4,89.0,60,1968,18.8,80,3,toyota corolla tercel,1
80_chevrolet chevette_2120,32.1,4,98.0,70,2120,15.5,80,1,chevrolet chevette,1
80_datsun 310_2019,37.2,4,86.0,65,2019,16.4,80,3,datsun 310,1
80_chevrolet citation_2678,28.0,4,151.0,90,2678,16.5,80,1,chevrolet citation,1
80_ford fairmont_2870,26.4,4,140.0,88,2870,18.1,80,1,ford fairmont,1
80_amc concord_3003,24.3,4,151.0,90,3003,20.1,80,1,amc concord,1
80_dodge aspen_3381,19.1,6,225.0,90,3381,18.7,80,1,dodge aspen,0
80_audi 4000_2188,34.3,4,97.0,78,2188,15.8,80,2,audi 4000,1
80_toyota corona liftback_2711,29.8,4,134.0,90,2711,15.5,80,3,toyota corona liftback,1
80_mazda 626_2542,31.3,4,120.0,75,2542,17.5,80,3,mazda 626,1
80_datsun 510 hatchback_2434,37.0,4,119.0,92,2434,15.0,80,3,datsun 510 hatchback,1
80_toyota corolla_2265,32.2,4,108.0,75,2265,15.2,80,3,toyota corolla,1
80_mazda glc_2110,46.6,4,86.0,65,2110,17.9,80,3,mazda glc,1
80_dodge colt_2800,27.9,4,156.0,105,2800,14.4,80,1,dodge colt,1
80_datsun 210_2110,40.8,4,85.0,65,2110,19.2,80,3,datsun 210,1
80_vw rabbit c (diesel)_2085,44.3,4,90.0,48,2085,21.7,80,2,vw rabbit c (diesel),1
80_vw dasher (diesel)_2335,43.4,4,90.0,48,2335,23.7,80,2,vw dasher (diesel),1
80_audi 5000s (diesel)_2950,36.4,5,121.0,67,2950,19.9,80,2,audi 5000s (diesel),1
80_mercedes-benz 240d_3250,30.0,4,146.0,67,3250,21.8,80,2,mercedes-benz 240d,1
80_honda civic 1500 gl_1850,44.6,4,91.0,67,1850,13.8,80,3,honda civic 1500 gl,1
80_renault lecar deluxe_1835,40.9,4,85.0,52,1835,17.3,80,2,renault lecar deluxe,1
80_subaru dl_2145,33.8,4,97.0,67,2145,18.0,80,3,subaru dl,1
80_vokswagen rabbit_1845,29.8,4,89.0,62,1845,15.3,80,2,vokswagen rabbit,1
80_datsun 280-zx_2910,32.7,6,168.0,132,2910,11.4,80,3,datsun 280-zx,1
80_mazda rx-7 gs_2420,23.7,3,70.0,100,2420,12.5,80,3,mazda rx-7 gs,1
80_triumph tr7 coupe_2500,35.0,4,122.0,88,2500,15.1,80,2,triumph tr7 coupe,1
80_ford mustang cobra_2905,23.6,4,140.0,132,2905,14.3,80,1,ford mustang cobra,1
80_honda accord_2290,32.4,4,107.0,72,2290,17.0,80,3,honda accord,1
81_plymouth reliant_2490,27.2,4,135.0,84,2490,15.7,81,1,plymouth reliant,1
81_buick skylark_2635,26.6,4,151.0,84,2635,16.4,81,1,buick skylark,1
81_dodge aries wagon (sw)_2620,25.8,4,156.0,92,2620,14.4,81,1,dodge aries wagon (sw),1
81_chevrolet citation_2725,23.5,6,173.0,110,2725,12.6,81,1,chevrolet citation,1
81_plymouth reliant_2385,30.0,4,135.0,84,2385,12.9,81,1,plymouth reliant,1
81_toyota starlet_1755,39.1,4,79.0,58,1755,16.9,81,3,toyota starlet,1
81_plymouth champ_1875,39.0,4,86.0,64,1875,16.4,81,1,plymouth champ,1
81_honda civic 1300_1760,35.1,4,81.0,60,1760,16.1,81,3,honda civic 1300,1
81_subaru_2065,32.3,4,97.0,67,2065,17.8,81,3,subaru,1
81_datsun 210 mpg_1975,37.0,4,85.0,65,1975,19.4,81,3,datsun 210 mpg,1
81_toyota tercel_2050,37.7,4,89.0,62,2050,17.3,81,3,toyota tercel,1
81_mazda glc 4_1985,34.1,4,91.0,68,1985,16.0,81,3,mazda glc 4,1
81_plymouth horizon 4_2215,34.7,4,105.0,63,2215,14.9,81,1,plymouth horizon 4,1
81_ford escort 4w_2045,34.4,4,98.0,65,2045,16.2,81,1,ford escort 4w,1
81_ford escort 2h_2380,29.9,4,98.0,65,2380,20.7,81,1,ford escort 2h,1
81_volkswagen jetta_2190,33.0,4,105.0,74,2190,14.2,81,2,volkswagen jetta,1
81_renault 18i_2320,34.5,4,100.0,82,2320,15.8,81,2,renault 18i,1
81_honda prelude_2210,33.7,4,107.0,75,2210,14.4,81,3,honda prelude,1
81_toyota corolla_2350,32.4,4,108.0,75,2350,16.8,81,3,toyota corolla,1
81_datsun 200sx_2615,32.9,4,119.0,100,2615,14.8,81,3,datsun 200sx,1
81_mazda 626_2635,31.6,4,120.0,74,2635,18.3,81,3,mazda 626,1
81_peugeot 505s turbo diesel_3230,28.1,4,141.0,80,3230,20.4,81,2,peugeot 505s turbo diesel,1
81_volvo diesel_3160,30.7,6,145.0,76,3160,19.6,81,2,volvo diesel,1
81_toyota cressida_2900,25.4,6,168.0,116,2900,12.6,81,3,toyota cressida,1
81_datsun 810 maxima_2930,24.2,6,146.0,120,2930,13.8,81,3,datsun 810 maxima,1
81_buick century_3415,22.4,6,231.0,110,3415,15.8,81,1,buick century,0
81_oldsmobile cutlass ls_3725,26.6,8,350.0,105,3725,19.0,81,1,oldsmobile cutlass ls,1
81_ford granada gl_3060,20.2,6,200.0,88,3060,17.1,81,1,ford granada gl,0
81_chrysler lebaron salon_3465,17.6,6,225.0,85,3465,16.6,81,1,chrysler lebaron salon,0
82_chevrolet cavalier_2605,28.0,4,112.0,88,2605,19.6,82,1,chevrolet cavalier,1
82_chevrolet cavalier wagon_2640,27.0,4,112.0,88,2640,18.6,82,1,chevrolet cavalier wagon,1
82_chevrolet cavalier 2-door_2395,34.0,4,112.0,88,2395,18.0,82,1,chevrolet cavalier 2-door,1
82_pontiac j2000 se hatchback_2575,31.0,4,112.0,85,2575,16.2,82,1,pontiac j2000 se hatchback,1
82_dodge aries se_2525,29.0,4,135.0,84,2525,16.0,82,1,dodge aries se,1
82_pontiac phoenix_2735,27.0,4,151.0,90,2735,18.0,82,1,pontiac phoenix,1
82_ford fairmont futura_2865,24.0,4,140.0,92,2865,16.4,82,1,ford fairmont futura,1
82_volkswagen rabbit l_1980,36.0,4,105.0,74,1980,15.3,82,2,volkswagen rabbit l,1
82_mazda glc custom l_2025,37.0,4,91.0,68,2025,18.2,82,3,mazda glc custom l,1
82_mazda glc custom_1970,31.0,4,91.0,68,1970,17.6,82,3,mazda glc custom,1
82_plymouth horizon miser_2125,38.0,4,105.0,63,2125,14.7,82,1,plymouth horizon miser,1
82_mercury lynx l_2125,36.0,4,98.0,70,2125,17.3,82,1,mercury lynx l,1
82_nissan stanza xe_2160,36.0,4,120.0,88,2160,14.5,82,3,nissan stanza xe,1
82_honda accord_2205,36.0,4,107.0,75,2205,14.5,82,3,honda accord,1
82_toyota corolla_2245,34.0,4,108.0,70,2245,16.9,82,3,toyota corolla,1
82_honda civic_1965,38.0,4,91.0,67,1965,15.0,82,3,honda civic,1
82_honda civic (auto)_1965,32.0,4,91.0,67,1965,15.7,82,3,honda civic (auto),1
82_datsun 310 gx_1995,38.0,4,91.0,67,1995,16.2,82,3,datsun 310 gx,1
82_buick century limited_2945,25.0,6,181.0,110,2945,16.4,82,1,buick century limited,1
82_oldsmobile cutlass ciera (diesel)_3015,38.0,6,262.0,85,3015,17.0,82,1,oldsmobile cutlass ciera (diesel),1
82_chrysler lebaron medallion_2585,26.0,4,156.0,92,2585,14.5,82,1,chrysler lebaron medallion,1
82_ford granada l_2835,22.0,6,232.0,112,2835,14.7,82,1,ford granada l,0
82_toyota celica gt_2665,32.0,4,144.0,96,2665,13.9,82,3,toyota celica gt,1
82_dodge charger 2.2_2370,36.0,4,135.0,84,2370,13.0,82,1,dodge charger 2.2,1
82_chevrolet camaro_2950,27.0,4,151.0,90,2950,17.3,82,1,chevrolet camaro,1
82_ford mustang gl_2790,27.0,4,140.0,86,2790,15.6,82,1,ford mustang gl,1
82_vw pickup_2130,44.0,4,97.0,52,2130,24.6,82,2,vw pickup,1
82_dodge rampage_2295,32.0,4,135.0,84,2295,11.6,82,1,dodge rampage,1
82_ford ranger_2625,28.0,4,120.0,79,2625,18.6,82,1,ford ranger,1
82_chevy s-10_2720,31.0,4,119.0,82,2720,19.4,82,1,chevy s-10,1
